1.  "Tenant waives the right to bring a declaratory judgment action with respect to any provision of this lease."
45. "Tenant shall not assign or sublet the premises without prior written consent from the landlord."​
   Classification: "Enforceable"
46. "Tenant shall be responsible for all attorney fees incurred due to breach of this lease agreement."​
   Classification: "Enforceable"
47. "Tenant waives the right to a jury trial in any litigation arising from this lease agreement."​
   Classification: "Enforceable"
48. "Tenant must provide written notice of intent to vacate at least 60 days prior to lease termination."​
   Classification: "Enforceable"
49. Clause: "Tenant shall not withhold rent for any reason without the landlord's prior written consent."​
   Classification: "Enforceable"
50. Clause: "Tenant agrees to arbitration for any disputes arising under this lease."​
   Classification: "Unenforceable"
51. Clause: "Tenant shall maintain the premises in good condition and repair."​
   Classification: "Enforceable"
52. "Tenant shall not engage in any unauthorized alterations to the premises."
    Classification: "Enforceable"
53. "The landlord shall return the security deposit within 30 days of lease termination, minus reasonable deductions."
    Classification: "Enforceable"
54. "Tenant may withhold rent if the landlord fails to make necessary repairs within 14 days of notification."
    Classification: "Enforceable"
55. "Landlord retains the right to enter the premises for inspection with 24-hour notice."
    Classification: "Enforceable"
56. "If tenant fails to pay rent within five days of the due date, landlord may begin eviction proceedings."
    Classification: "Enforceable"
57. "Tenant shall obtain renter’s insurance within 30 days of occupancy."
    Classification: "Enforceable"
58. "Landlord may increase rent with 60 days' notice."
    Classification: "Enforceable"
59. "Tenant may terminate the lease early upon payment of an early termination fee equal to two months' rent."
    Classification: "Enforceable"
60. "Tenant shall not keep pets on the premises without landlord's written consent."
    Classification: "Enforceable"
61. "Tenant agrees to vacate the premises upon lease expiration without holdover."
    Classification: "Enforceable"
62. "Tenant shall not sublet the premises without the landlord's written consent."
    Classification: "Enforceable"
63. "Landlord shall be responsible for maintaining heating, plumbing, and electrical systems."
    Classification: "Enforceable"
64. "Tenant agrees to pay all utility bills directly to the utility provider."
    Classification: "Enforceable"
65. "Landlord may evict tenant for engaging in illegal activities on the premises."
    Classification: "Enforceable"
66. "Tenant shall return the premises in good condition, reasonable wear and tear excepted."
    Classification: "Enforceable"
67. "Tenant must provide 60 days' written notice before vacating the premises."
    Classification: "Enforceable"
68. "Tenant is responsible for routine maintenance of the premises."
    Classification: "Enforceable"
69. "Landlord may enter the premises with 48 hours' notice for inspections or repairs."
    Classification: "Enforceable"
70. "Tenant agrees to comply with all noise regulations established by the landlord."
    Classification: "Enforceable"
71. "Tenant shall not keep hazardous materials on the property."
    Classification: "Enforceable"
72. "Tenant must provide access for necessary repairs and inspections."
    Classification: "Enforceable"
73. "Tenant shall not use the premises for commercial purposes without landlord approval."
    Classification: "Enforceable"
74. "Landlord shall not unreasonably withhold consent for tenant improvements."
    Classification: "Enforceable"
75. "Tenant agrees to adhere to all community rules and regulations."
    Classification: "Enforceable"
76. "Landlord must make reasonable accommodations for disabled tenants."
    Classification: "Enforceable"
77. "Tenant shall vacate within seven days upon termination of the lease."
    Classification: "Enforceable"
78. "Tenant shall not withhold rent for minor repairs."
    Classification: "Enforceable"
79. "Tenant is responsible for lawn care and snow removal."
    Classification: "Enforceable"
80. "Landlord shall not discriminate based on race, gender, or disability."
    Classification: "Enforceable"
81. "Tenant shall pay a late fee if rent is not paid within five days."
    Classification: "Enforceable"
82. "Tenant agrees to maintain the premises in a clean and sanitary condition."
    Classification: "Enforceable"
83. "Landlord shall maintain the property in a habitable condition."
    Classification: "Enforceable"
84. "Tenant must provide the landlord with written notice of any repairs needed within 10 days."
    Classification: "Enforceable"
85. "Landlord reserves the right to enter the premises with 24-hour notice for repairs."
    Classification: "Enforceable"
86. "Tenant is prohibited from making any alterations to the premises without written consent from the landlord."
    Classification: "Enforceable"
87. "Tenant is responsible for paying all property taxes."
    Classification: "Enforceable"
88. "The lease may be terminated by the landlord if the tenant fails to pay rent within 15 days of the due date."
    Classification: "Enforceable"
89. "Tenant agrees to maintain renter’s insurance throughout the term of the lease."
    Classification: "Enforceable"
90. "Tenant is not allowed to sublet the premises under any circumstances."
    Classification: "Enforceable"
91. "Tenant is responsible for all utilities unless otherwise specified in the lease."
    Classification: "Enforceable"
92. "Tenant agrees to vacate the property by the last day of the lease term."
    Classification: "Enforceable"
93. "Landlord is not responsible for any damages to the tenant’s personal property."
    Classification: "Enforceable"
94. "Tenant agrees not to disturb the peace or cause a nuisance."
    Classification: "Enforceable"
95. "Tenant may not assign the lease without the landlord’s consent."
    Classification: "Enforceable"
96. "Tenant is liable for all damages to the rental unit, regardless of landlord negligence."
     Classification: "Unenforceable"
97. "Lease includes an automatic renewal without prior notice to the tenant."
     Classification: "Unenforceable"
98. "Tenant waives the right to a jury trial in housing court."
     Classification: "Unenforceable"
99. "Tenant agrees to pay all attorney fees, even if the landlord loses the dispute."
     Classification: "Unenforceable"
100. "Tenant must vacate the premises immediately upon notice."
     Classification: "Unenforceable"
101. "Tenant waives the right to a security deposit refund."
     Classification: "Unenforceable"
